Comb.Protein,Comb.Gene,Upsig.H202,Upsig.WCE,Upsig.REC,Upsig.WCE_REC,H202_Rep1,,,,,,WCE_H202_Rep1,,,,,,H202_Rep2,,,,,,WCE_H202_Rep2,,,,,,H202_Rep3,,,,,,WCE_H202_Rep3,,,,,,REC_Rep1,,,,,,WCE_REC_Rep1,,,,,,REC_Rep2,,,,,,WCE_REC_Rep2,,,,,,REC_Rep3,,,,,,WCE_REC_Rep3,,,,,
,,,,,,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR,MedianRatio,PepNum,PepNumRemoved,Probability,PosteriorOdds,BFDR
P46654,RPS0B;RPS0A,*,*,*,*,1.088,6,0,1,55.453,0,0.529,8,0,1,21.832,0,0.758,5,0,1,30.413,0,0.413,8,0,1,16.568,0,,,,,,,1.581,5,0,1,137.762,0,1.037,7,0,1,64.667,0,0.453,7,0,1,16.074,0,0.792,5,0,1,29.064,0,0.288,6,0,0.962,3.227,0.003,,,,,,,1.774,3,1,1,81.897,0
P05744,RPL33A,*,*,*,*,0.828,3,0,1,12.12,0,0.414,5,0,1,8.569,0,1.021,1,0,1,8.484,0,0.471,5,0,0.999,7.52,0,,,,,,,2.219,3,0,1,119.201,0,0.853,4,0,1,21.984,0,0.361,4,0,0.997,5.957,0,0.868,1,0,0.998,6.211,0,0.176,3,0,0.171,-1.581,0.118,,,,,,,2.047,2,0,1,69.732,0
P0CX53,RPL12A;RPL12B,*,*,*,*,1.033,2,0,1,17.991,0,0.518,7,0,1,17.328,0,0.753,5,0,1,24.591,0,0.407,6,0,0.993,5.02,0,0.584,2,0,0.999,7.298,0,1.247,3,1,1,31.104,0,1.035,5,0,1,36.086,0,0.402,7,0,0,-223.108,0.305,0.878,4,0,1,24.422,0,0.434,4,0,0.999,7.527,0,0.754,2,0,1,12.815,0,1.826,2,0,1,56.96,0
P00812,CAR1,*,,*,,0.443,4,0,1,16.226,0,0.759,2,0,1,12.627,0,0.626,5,0,1,24.245,0,-0.089,1,0,0.031,-3.437,0.192,-0.253,1,0,-0.003,-5.895,0.251,,,,,,,0.678,7,0,1,29.473,0,0.187,6,0,0,-212.761,0.288,0.611,9,0,1,60.381,0,0.628,5,0,1,22.935,0,0.284,3,1,1,9.675,0,0.179,1,0,0.34,-0.664,0.082
P18899,DDR48,*,*,*,*,1.742,3,0,1,71.217,0,0.33,8,0,1,8.883,0,1.173,2,0,1,24.952,0,-0.001,2,0,0.008,-4.803,0.231,,,,,,,0.461,6,0,1,15.438,0,,,,,,,0.653,10,0,1,43.146,0,1.273,1,0,1,12.916,0,0.391,3,0,0.967,3.389,0.002,1.379,4,0,1,67.441,0,1.117,7,0,1,66.558,0
P07991,CAR2,*,*,*,*,0.544,2,0,1,5.461,0,0.795,9,0,1,46.159,0,1.286,13,0,1,164.627,0,0.532,6,0,0,-214.773,0.29,-0.37,6,1,0,-10.839,0.271,1.147,2,0,1,24.233,0,1.102,9,0,1,115.52,0,1.005,8,0,1,65.075,0,0.918,17,0,1,236.197,0,1.07,6,0,1,46.973,0,-0.183,9,4,0,-686.522,0.461,-0.759,2,1,-0.929,2.571,0.006
P34760,TSA1,*,*,*,*,1.48,3,0,1,54.629,0,0.446,12,0,1,27.147,0,0.749,7,0,1,30.208,0,0.327,12,0,0,-216.63,0.293,0.716,6,2,1,47.461,0,2.129,5,4,1,262.854,0,1.316,7,0,1,85.36,0,0.513,10,0,1,28.218,0,0.665,5,0,1,29.814,0,0.343,12,0,0,-455.236,0.425,0.672,3,2,1,13.284,0,1.902,8,3,1,246.615,0
P22803,TRX2,*,*,*,*,0.982,6,0,1,50.968,0,0.408,6,0,1,13.537,0,0.877,4,0,1,27.567,0,0.266,5,0,0,-229.076,0.331,0.795,3,0,1,29.142,0,0.325,2,0,0.877,1.967,0.011,1.184,3,0,1,29.267,0,0.601,4,0,1,19.38,0,1.038,4,0,1,37.459,0,0.418,5,0,1,8.548,0,1.55,4,0,1,99.904,0,0.815,5,0,1,37.608,0
P38013,AHP1,*,*,*,*,0.599,4,0,1,14.839,0,0.407,10,0,1,13.637,0,1.053,3,0,1,29.013,0,0.264,8,1,0,-230.917,0.347,1.807,3,0,1,71.748,0,1.146,9,0,1,133.109,0,0.54,3,0,1,8.592,0,0.346,9,0,1,8.188,0,0.95,4,0,1,27.589,0,0.163,9,0,0,-232.238,0.361,1.734,3,0,1,105.684,0,2.135,4,2,1,157.804,0
Q02326,RPL6A,*,*,,*,0.743,3,0,1,10.28,0,0.469,4,0,1,9.266,0,0.855,1,0,0.998,6.028,0,0.385,6,0,0.999,7.026,0,,,,,,,2.103,1,0,1,36.41,0,0.932,6,0,1,40.645,0,0.429,3,0,0.91,2.314,0.008,,,,,,,0.22,4,0,0.512,0.047,0.055,,,,,,,1.688,2,0,1,49.922,0
P29509,TRR1,*,*,*,*,0.971,2,0,1,17.25,0,0.487,9,0,1,24.447,0,,,,,,,0.303,12,0,1,10.751,0,0.788,1,0,0.994,5.081,0,0.125,5,3,0.999,6.701,0,1.176,3,0,1,28.209,0,0.529,11,0,1,37.843,0,0.417,1,0,0.814,1.477,0.017,0.427,10,0,0,-216.011,0.291,0.905,3,0,1,41.373,0,1.208,10,0,1,168.292,0
P06367,RPS14A;RPS14B,,*,,*,0.665,4,0,1,16.153,0,0.477,7,0,1,16.335,0,,,,,,,0.448,5,0,1,11.211,0,,,,,,,1.445,2,0,1,37.066,0,0.806,8,0,1,54.673,0,0.396,6,0,0,-224.288,0.308,,,,,,,0.504,3,0,0.998,6.323,0,,,,,,,1.383,2,0,1,38.235,0
P53221,RPL26B;RPL26A,,*,,,0.707,5,0,1,27.244,0,0.517,7,0,1,10.033,0,,,,,,,0.01,7,0,0,-470.529,0.452,,,,,,,2.221,1,0,1,40.616,0,0.94,6,0,1,45.692,0,0.251,8,0,0,-223.539,0.306,,,,,,,0.3,5,0,0,-230.996,0.349,,,,,,,0.578,5,0,0,-179.437,0.277
P02406,RPL28,*,*,,*,0.957,4,0,1,30.339,0,0.327,5,0,0.999,7.531,0,0.866,1,0,0.998,6.184,0,0.332,6,0,1,9.022,0,,,,,,,2.065,4,1,1,190.392,0,1.018,7,0,1,52.402,0,0.522,5,0,1,14.074,0,,,,,,,0.313,6,0,0.998,6.055,0,,,,,,,1.974,3,1,1,99.899,0
P17695,GRX2,,*,,*,0.692,2,0,1,8.3,0,0.632,2,0,0.999,7.22,0,,,,,,,0.332,2,0,0.886,2.053,0.01,,,,,,,2.076,1,0,1,35.459,0,0.779,1,0,0.993,4.961,0,0.577,2,0,0.998,6.063,0,,,,,,,0.393,1,0,0.783,1.284,0.02,,,,,,,2.405,1,0,1,47.516,0
P10081,TIF1,,,*,,0.414,3,0,1,6.312,0,0.436,5,0,0.999,6.641,0,,,,,,,0.192,7,0,0,-464.635,0.441,,,,,,,-0.013,3,0,0,-226.729,0.319,0.513,9,0,1,38.33,0,0.059,8,0,0,-464.567,0.441,0.813,1,0,0.996,5.437,0,-0.357,5,0,0,-457.073,0.427,,,,,,,0.503,2,0,0,-220.15,0.298
P28777,ARO2,*,,*,,1.108,1,0,1,9.892,0,0.543,3,0,0.998,6.364,0,0.721,7,0,1,31.84,0,0.048,5,0,0,-463.289,0.437,,,,,,,,,,,,,0.965,1,0,1,7.639,0,0.095,4,0,0,-237.598,0.404,0.818,7,0,1,31.947,0,-0.347,5,0,0,-233.139,0.372,1.542,4,0,1,89.372,0,-0.375,3,0,0,-231.856,0.358
P39015,STM1,*,,*,,0.728,14,0,1,62.954,0,0.17,10,0,0.998,6.236,0,0.696,4,0,1,18.626,0,0.23,14,0,0,-694.673,0.467,,,,,,,-0.044,8,3,0,-704.574,0.474,0.588,15,0,1,76.193,0,0.23,11,0,0,-463.897,0.438,0.896,3,0,1,20.996,0,0.059,12,0,0,-937.178,0.508,,,,,,,0.007,9,1,0,-465.014,0.442
Q02642,EGD1,*,,*,,0.494,2,0,1,4.883,0,0.588,3,0,0.998,6.431,0,0.476,2,0,0.993,4.931,0,0.32,4,0,0,-227.277,0.322,0.342,1,0,0.704,0.866,0.031,-0.108,2,0,0,-221.12,0.301,0.696,2,0,1,10.211,0,0.279,3,0,0,-228.803,0.329,0.59,2,0,0.999,6.762,0,-0.25,2,0,0,-232.23,0.363,,,,,,,-0.192,2,0,0,-239.472,0.409
P53252,PIL1;LSP1,*,*,*,,1.437,1,0,1,16.469,0,0.331,4,0,0.998,6.321,0,0.718,1,0,0.985,4.189,0.001,0.509,3,0,0.942,2.783,0.005,,,,,,,-0.279,1,0,-0.001,-6.863,0.259,0.774,3,0,1,12.063,0,0.23,4,0,0,-235.678,0.394,0.81,1,0,0.995,5.39,0,0.263,3,0,0,-232.187,0.361,,,,,,,,,,,,
P04650,RPL39,,*,,*,0.978,1,0,1,7.833,0,0.567,2,0,0.998,6.384,0,,,,,,,0.411,2,0,0.967,3.377,0.002,,,,,,,,,,,,,1.127,2,0,1,20.991,0,0.756,1,0,0.991,4.663,0.001,,,,,,,0.311,1,0,0.645,0.597,0.039,,,,,,,,,,,,
O14467,MBF1,,*,,*,0.682,3,0,1,13.236,0,0.442,4,0,0.996,5.502,0,,,,,,,0.193,6,0,0,-232.734,0.368,,,,,,,2.121,2,0,1,74.644,0,0.955,4,0,1,32.263,0,0.373,5,0,1,9.995,0,,,,,,,0.083,2,0,0.051,-2.932,0.169,,,,,,,1.208,2,0,1,37.26,0
P0C2H6,RPL27A;RPL27B,*,,,,0.798,8,0,1,48.033,0,0.405,7,0,0.994,5.121,0,1.097,1,0,1,9.704,0,0.112,7,0,0,-234.62,0.386,,,,,,,-0.192,2,1,-0.002,-6.157,0.253,1.017,11,0,1,84.684,0,0.469,5,0,0.994,5.156,0,,,,,,,0.097,6,0,0,-470.474,0.452,,,,,,,-0.283,2,0,0,-10.335,0.271
P35732,DEF1,*,*,*,*,0.792,2,0,1,10.958,0,0.49,3,0,0.992,4.78,0.001,0.69,1,0,0.979,3.858,0.002,0.144,3,0,0.511,0.044,0.055,1.044,1,0,1,8.849,0,1.157,3,0,1,50.179,0,0.875,1,0,0.998,6.312,0,0.225,4,0,0.899,2.188,0.009,0.827,1,0,0.996,5.625,0,0.273,2,0,0.711,0.902,0.03,2.773,2,0,1,128.737,0,0.578,2,1,0.998,6.074,0
P15891,ABP1,*,*,*,*,0.975,8,0,1,67.818,0,0.744,1,0,0.989,4.505,0.001,1.003,2,0,1,17.453,0,0.016,5,0,0.387,-0.46,0.074,1.645,2,1,1,44.269,0,1.258,3,0,1,59.41,0,0.99,1,0,1,8.016,0,0.676,1,0,0.976,3.704,0.002,0.982,1,0,1,7.895,0,0.148,3,0,0,-235.673,0.394,2.192,2,0,1,81.632,0,0.654,3,1,1,16.613,0
P39935,TIF4631,*,*,*,,1.294,3,0,1,34.429,0,0.426,2,0,0.975,3.675,0.002,,,,,,,0.216,1,0,0.429,-0.287,0.067,1.633,1,0,1,21.521,0,0.624,2,0,1,10.652,0,1.128,1,0,1,10.238,0,0.938,1,0,0.999,7.229,0,,,,,,,,,,,,,1.748,1,0,1,24.823,0,,,,,,
P34167,TIF3,*,*,,*,1.303,1,0,1,13.532,0,0.429,2,0,0.974,3.622,0.002,1.073,1,0,1,9.317,0,0.604,3,0,1,17.288,0,,,,,,,1.442,2,0,1,38.251,0,,,,,,,0.763,1,0,0.991,4.755,0.001,,,,,,,0.668,2,0,1,7.752,0,,,,,,,1.241,3,0,1,37.186,0
P10080,SBP1,,,,,0.956,2,0,1,15.527,0,0.288,4,0,0.97,3.482,0.002,,,,,,,-0.261,3,0,0,-232.166,0.36,,,,,,,-0.143,1,0,-0.012,-4.421,0.217,0.971,1,0,1,7.721,0,-0.08,3,0,0,-230.858,0.347,,,,,,,-0.182,3,0,0,-229.452,0.335,,,,,,,-0.702,2,0,0,-219.36,0.297
P0CX41,RPL23A;RPL23B,,*,,,0.559,2,0,1,6.302,0,0.324,6,0,0.957,3.101,0.003,,,,,,,0.138,3,0,0,-233.725,0.376,,,,,,,1.252,1,0,1,12.514,0,1.063,1,0,1,9.147,0,0.169,5,0,0,-243.123,0.415,,,,,,,0.4,2,0,0.956,3.086,0.003,,,,,,,,,,,,
P32471,EFB1,*,,*,,0.477,4,0,1,14.017,0,0.413,4,0,0.944,2.818,0.004,0.497,3,0,1,14.579,0,-0.016,7,0,0,-239.497,0.409,0.355,4,1,0.997,5.742,0,0.141,4,1,0,-233.103,0.372,0.659,5,0,1,23.531,0,0.148,6,0,0,-233.837,0.378,0.563,3,0,1,14.435,0,0.019,7,0,0,-702.217,0.473,0.464,2,1,0.985,4.204,0.001,-0.029,4,1,0,-9.419,0.268
P19262,KGD2,*,,*,*,0.935,2,0,1,17.673,0,0.574,1,0,0.938,2.709,0.005,0.964,2,0,1,16.422,0,0.199,2,0,0.392,-0.439,0.073,1.715,2,0,1,49.073,0,,,,,,,0.934,3,0,1,41.068,0,0.46,2,1,0.984,4.141,0.001,1.271,2,0,1,29.711,0,0.502,2,0,0.992,4.799,0.001,1.189,4,0,1,67.179,0,1.328,3,0,1,35.338,0
P15992,HSP26,,*,,*,0.662,2,0,1,8.379,0,0.276,4,0,0.937,2.7,0.005,,,,,,,-0.126,6,1,0,-463.096,0.437,,,,,,,1.567,1,0,1,19.725,0,1.476,8,0,1,147.048,0,1.081,8,0,1,67.918,0,,,,,,,0.987,7,2,1,60.286,0,,,,,,,2.032,4,1,1,151.941,0
P40150,SSB2,*,*,*,*,0.916,1,0,1,6.909,0,0.384,2,0,0.931,2.607,0.005,0.901,1,0,0.999,6.688,0,0.416,2,0,0.967,3.375,0.002,,,,,,,1.401,2,0,1,35.971,0,0.908,3,0,1,25.969,0,0.475,2,0,0.988,4.414,0.001,0.852,1,0,0.997,5.979,0,0.315,2,0,0.855,1.777,0.013,0.303,1,0,0.628,0.524,0.04,1.918,2,0,1,75.496,0
P07260,CDC33,*,,*,,0.861,2,0,1,12.781,0,0.561,1,0,0.931,2.605,0.005,0.875,1,0,0.998,6.316,0,0.218,2,0,0.44,-0.24,0.065,,,,,,,,,,,,,0.826,3,0,1,23.433,0,0.103,2,0,0.078,-2.472,0.149,0.621,1,0,0.958,3.134,0.003,0.273,1,0,0.563,0.254,0.048,,,,,,,,,,,,
P38986,ASP1,*,,*,*,0.476,4,0,1,9.908,0,0.356,2,0,0.906,2.265,0.008,0.686,2,0,1,8.746,0,0.087,4,0,0,-458.583,0.428,,,,,,,,,,,,,0.463,5,0,1,31.688,0,0.333,4,0,0.951,2.961,0.004,0.733,2,0,1,9.356,0,0.127,2,0,0.12,-1.991,0.131,0.351,1,0,0.72,0.944,0.029,1.283,1,0,1,13.136,0
