"P46654" "RPS0B;RPS0A"
"P07259" "URA2"
"P53111" "ARI1"
"P32628" "RAD23"
"Q04947" "RTN1"
"P25491" "YDJ1"
"P32481" "GCD11"
"P02406" "RPL28"
"P32381" "ARP2"
"P22803" "TRX2"
"Q01662" "MAP1"
"P10591" "SSA1;SSA4"
"Q3E754" "RPS21A;RPS21B"
"P40303" "PRE6"
"P06367" "RPS14A;RPS14B"
"P0CX43" "RPL1A;RPL1B"
"P31412" "VMA5"
"P53615" "NCE103"
"P32486" "KRE6"
"P04173" "LEU2"
"P05744" "RPL33A;RPL33B"
"P53598" "LSC1"
"P15891" "ABP1"
"P48164" "RPS7B"
"P32449" "ARO4"
"Q01939" "RPT6"
"P03965" "CPA2"
"P07702" "LYS2"
"P40150" "SSB2"
"P22943" "HSP12"
"P38631" "FKS1"
"P38764" "RPN1"
"P0C2I5" "TY1B-LR4;TY1B-PR3;TY1B-OL;TY1A-LR4;TY1B-H;TY1B-PR2;TY1B-BR;TY1B-DR5;TY1B-ER2;TY1B-MR2;TY1B-ML1;TY1B-LR1;TY1B-GR3;TY1B-OR;TY1B-DR1;TY1A-PR3;TY1A-OL;TY1A-H;TY1A-OR;TY1A-PR2;TY1A-DR5;TY1A-ER2;TY1A-GR3;TY1A-LR1;TY1A-MR2;TY1A-DR1;TY1A-ML1;TY1A-BR;TY1B-LR2;TY1B-PR1;TY1B-ER1;TY1B-PL;TY1B-DR4;TY1B-DR6;TY1A-DR4;TY1A-A;TY1A-PR1;TY1A-DR6;TY1A-ER1;TY1A-LR2;TY1A-PL;TY1B-NL2;TY1A-NL2;TY1B-JR2;TY1B-ML2;TY1B-JR1;TY1B-GR1;TY1B-LR3;TY1B-GR2;TY1A-JR1;TY1A-LR3;TY1A-ML2;TY1A-JR2;TY1A-GR1;TY1A-GR2"
"P07703" "RPC40"
"P32602" "SEC17"
"P34760" "TSA1"
"P39940" "RSP5"
"P23595" "PPH22;PPH21"
"P43588" "RPN11"
"P23638" "PRE9"
"P43597" "YFR016C"
"P48836" "VMA10"
"P0C0T4" "RPS25B;RPS25A"
"P10664" "RPL4A;RPL4B"
"P25443" "RPS2"
"P0CX41" "RPL23A;RPL23B"
"Q03940" "RVB1"
"P37303" "GLY1"
"P38431" "TIF5"
"P00812" "CAR1"
"Q01560" "NPL3"
"P24280" "SEC14"
"P25451" "PUP3"
"Q08745" "RPS10A;RPS10B"
"P40825" "ALA1"
"P39676" "YHB1"
"Q01855" "RPS15"
"P05318" "RPP1A"
"P04456" "RPL25"
"P23639" "PRE8"
"P46990" "RPL17B;RPL17A"
"P49723" "RNR4"
"Q12178" "FCY1"
"P08566" "ARO1"
"P05737" "RPL7A"
"P53221" "RPL26B;RPL26A"
"P32379" "PUP2"
"P38013" "AHP1"
"P28777" "ARO2"
"Q12118" "SGT2"
