"P46654" "RPS0B;RPS0A"
"P53111" "ARI1"
"P32628" "RAD23"
"Q04947" "RTN1"
"P25491" "YDJ1"
"P02406" "RPL28"
"P32381" "ARP2"
"P22803" "TRX2"
"Q01662" "MAP1"
"P10591" "SSA1;SSA4"
"P31412" "VMA5"
"P53615" "NCE103"
"P32486" "KRE6"
"P04173" "LEU2"
"P05744" "RPL33A;RPL33B"
"P53598" "LSC1"
"P48164" "RPS7B"
"Q01939" "RPT6"
"P03965" "CPA2"
"P07702" "LYS2"
"P40150" "SSB2"
"P22943" "HSP12"
"P15992" "HSP26"
"P38764" "RPN1"
"P32602" "SEC17"
"P34760" "TSA1"
"P23595" "PPH22;PPH21"
"P43588" "RPN11"
"P23638" "PRE9"
"P43597" "YFR016C"
"P48836" "VMA10"
"Q03940" "RVB1"
"P37303" "GLY1"
"P00937" "TRP3"
"P38431" "TIF5"
"P00812" "CAR1"
"P25451" "PUP3"
"P39676" "YHB1"
"Q01855" "RPS15"
"P23639" "PRE8"
"P49723" "RNR4"
"P30656" "PRE2"
"P08566" "ARO1"
"P53221" "RPL26B;RPL26A"
"P38013" "AHP1"
"Q12118" "SGT2"
"P04911" "HTA1;HTA2"
"P41277" "RHR2"
"P35691" "TMA19"
"P16140" "VMA2"
"P14832" "CPR1"
"P23724" "PRE7"
"P04050" "RPO21"
"P0C0W9" "RPL11A;RPL11B"
"P38088" "GRS1"
"P54838" "DAK1"
"P00950" "GPM1"
"P38701" "RPS20"
"P26786" "RPS7A"
"P39522" "ILV3"
"P38788" "SSZ1"
"P0CS90" "SSC1"
"P15705" "STI1"
"P00560" "PGK1"
"P06168" "ILV5"
"P06169" "PDC1"
"P17255" "VMA1"
"P54115" "ALD6"
"P04147" "PAB1"
"P14540" "FBA1"
"P39954" "SAH1"
"P00942" "TPI1"
"P07284" "SES1"
"P00830" "ATP2"
"P38720" "GND1"
"P02294" "HTB2;HTB1"
"P00358" "TDH2"
"P28000" "RPC19"
"P41807" "VMA13"
"P39990" "SNU13"
"P32529" "RPA12"
"P39010" "AKR1"
"P40087" "DDI1"
"P25367" "RNQ1"
"P38962" "TVP23"
"Q12329" "HSP42"
"P38077" "ATP3"
"P09733" "TUB1"
"P38264" "PHO88"
"P27999" "RPB9"
"P32366" "VMA6"
"Q12522" "TIF6"
"Q04767" "TVP18"
"P53925" ""
"P39109" "YCF1"
"Q08822" "CIR2"
"P39111" "VMA7"
"P34223" "SHP1"
"Q12016" "VPS68"
"P22217" "TRX1"
"P34730" "BMH2"
"P32835" "GSP1"
"P34216" "EDE1"
"P16474" "KAR2"
"P32867" "SSO1"
"P33297" "RPT5"
"P16622" "HEM15"
"P16862" "PFK2"
"P40302" "PRE5"
"P46989" "ATG27"
"Q12402" "YOP1"
"P22515" "UBA1"
"Q03148" "SNZ1"
